SongID,Title,ArtistName,Artist_mbid,Country
b'SOOIAPL12AB018C4FE',b'Amsterdamaged',b'Humanzi',838b705b-2389-4de4-83a9-f5e970b2a7ef,IE
b'SOBYHQA12AB0185B69',"b""Do Somethin' Crazy""",b'Mighty Mighty Bosstones',779353f3-6401-4cda-a8a2-6fd3ec9bc11b,US
b'SOTOMJM12A8C134AA2',b'Milkcow Blues',b'Aerosmith',3d2b98e5-556f-4451-a3ff-c50ea18d57cb,US
b'SOQATPT12AB0189A22',b'Mo lanmou',b'Patrick Saint-Eloi',04559f8d-79ee-4922-8365-6f0306bd538d,GP
b'SOJIVAI12AC468E08E',b'Shawty Say',b'DJ X-Change',e40f8007-07cd-439f-b3cf-27104f146420,
b'SOPQXKA12AB01861CA',b'Room At The Bottom',b'Vince Guaraldi',05b5488d-7141-4b21-819b-d4713abf2a98,US
b'SOOXNKG12A58A7C6BC',b'Someone Believes In You - Album Version',b'Cindy Morgan',84abfd2a-89a1-4eb2-91ea-36ee5dac9a23,US
b'SOZMQND12A58A7DBE1',b'A Castle In The Sky',b'Marty Robbins',2c2add7c-9a99-4812-a20e-870d331f01fd,US
b'SODFGNK12AB0184C02',b'Le Vivre Pour Le Croire',b'Akissa',,Failed to retrieve information
b'SOSZDPD12A6D4F6ECA',b'Entre Autre Pas En Tra\xc3\xaetre',b'Isabelle Adjani',b7e9b00d-328e-4be1-b145-5ff372eba522,FR
b'SOXMMST12AB017F420',b'Follow The Leader',b'Eric B. & Rakim',925228de-bbe5-4c7b-b76f-78e382ec9148,US
b'SOCJJDX12A8C13E745',b'Rudeboy',b'Aswad',617f2574-c2bd-4e39-9627-34fc9742a024,GB
b'SOZYQQT12A8C13B4EA',b'Agenda Zwei Null Eins Null',b'Django As\xc3\xbcl',2b7a5be3-3fcc-445b-9dae-75e9e4261a65,DE
b'SODOOMF12AB018D375',"b""This is My Father's World/For the Beauty of the Earth""",b'Glad',16cea8ac-a655-4500-9c99-c3bbcc133fed,US
b'SOAQHFF12A8C139DD9',b'Shut Up',b'Pretty Boy Floyd',708ac406-ddb1-45cd-9c09-cb002f8ced60,CA
b'SOXFSTR12A8AE463B0',b'The Small Print',b'Muse',fd857293-5ab8-40de-b29e-55a69d4e4d0f,FR
b'SOFTUGY12A6D4F2B95',b'Easily',b'Vivian',b741b38e-9019-4aaf-b28a-f9d6680105df,CH
b'SOPEEDH12A58A7C407',b'Termites in the Bathtub',b'Dntel',1517c06e-2fe2-452a-981c-b3d9077e0520,US
b'SOGQDUA12A67021132',b'I Dunno (LP Version)',b'Georgia Satellites',8444928a-9292-4b69-ac50-3e9b44cfa8de,US
b'SOQNFQI12AB018882C',b'Mine All Mine',b'Jimmy Wakely',0b8f67b3-b1d8-4d7a-8317-9d2e7e1cb277,US
b'SOKGHWU12A6D4FB9F8',"b""Paper Aeroplane (Live From 'Drastic Fantastic' Tour)""",b'KT Tunstall',951d2103-9c7d-4849-ae60-88bf6aa4790b,GB
b'SOJDURH12AB018847F',b'Irapijerkifly',b'Izzy',7895507e-7b72-44d9-ab82-16ed0028572a,NZ
b'SOLUHDN12A8C13714D',b'Oh! quand je dors',"b""Dennis O'Neill""",6492e313-bc31-4300-960d-f6eb3db8500d,
b'SOLCYFR12A6701D233',"b""You're Crazy""","b""Guns N' Roses""",eeb1195b-f213-4ce1-b28c-8565211f8e43,US
b'SONGBWJ12A58A7AB4D',"b""Rock 'n' Roll""",b'Generation X',4e1d7f85-5f2e-432b-8bac-1c0a44289cee,NL
b'SOGNTZY12AC4689F04',b'Main Theme from Jaws',b'Orlando Pops Orchestra and Andrew Lane',0e6524bd-6641-46a6-bce5-96f06c19aa46,
b'SOXWHXX12AB018E307',b'Une java',b'Albert Pr\xc3\xa9jean',dd1f3d58-149a-4e96-b3fc-16fb54e12a71,FR
b'SOCHSZG12A6D4F7CD7',b'So Lonely',b'The Police',9e0e2b01-41db-4008-bd8b-988977d6019a,GB
b'SOTOZVC12AB01870D1',b'3 Deuces',b'Marcus Miller',8fbabd07-4b2b-4f4c-add5-680429a8c44a,US
b'SODTFNP12A8C1383EE',b'Sin Ti',b'Anthony Cruz',e96c88c1-44ab-4bab-8d2a-2cc68715f798,JM
b'SOMBTZH12A8C13BB75',b'Corner Story',b'Del The Funky Homosapien',a31a5e0c-d37a-41a8-90d5-9e256a47d83b,US
b'SODCSUB12AC90716E6',b'Ta Min Vals (Take This Waltz)',b'Ebba Forsberg',5364a837-7444-41fd-91e7-8d090b602aeb,SE
b'SOWKEFC12A6D4FB2BE',b'Your Smile (LP Version)',b'James Darren',dc296d4e-5bc5-482e-92b2-7eb2ad8804c7,US
b'SOFQVYJ12AB017FBBF',b'Fr\xc3\xa8res de sang (feat. Meiway)',b'Aurlus Mab\xc3\xa9l\xc3\xa9',aa68e70a-f15a-4583-89c5-61784bb782f3,CG
b'SOXMWPM12AB0185A0A',b'Nordmark',b'YGGDRASIL',f3167bb9-225b-49fe-b2e7-02a44107dbd1,NO
b'SOKQHTW12A6D4F95B3',b'Ares Populares/Asa Branca',b'Moraes Moreira',5b5d63ac-e78e-459e-abab-5e90e3dddbb5,BR
b'SOIPQBF12AB018C890',b'Wrong Decision (Instrumental)',b'Vrse Murphy',,Failed to retrieve information
b'SOXXEJT12A58A7D55E',b'Now I Know',b'Bullethole',,Failed to retrieve information
b'SOUALWG12AB0188588',b'Golfshirt Pt. 2',b'Nerf Herder',da66103a-1307-400d-8261-89d856126867,US
b'SOTKNLA12AB01826E7',b'Poker Face',b'Lady GaGa',650e7db6-b795-4eb5-a702-5ea2fc46c848,US
b'SOMRFYQ12A8C1325B2',b'Pretend',b'Shelby Lynne',f4992dae-69f2-4c0d-95fa-0b65f47906f2,US
b'SOWMQNJ12A8AE471EE',b'Just Let Me Be In Love',b'Tracy Byrd',1edead6d-6c01-4ad4-9cce-c334bf7edf23,US
